STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;2090
delete.cypher;delete nodes;2
delete.cypher;TOTAL;2092

schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;9

graphSetting.cypher;dataset loading;1371
graphSetting.cypher;TOTAL;1371

constraints.cypher;C0 - Strict Temporal Consistency;16102
constraints.cypher;C1 - birthDateConflict;37
constraints.cypher;C2 - deathDateConflict;20
constraints.cypher;C3 - birthDeathConflict;27
constraints.cypher;C4 - birthPlayerConflict;1132
constraints.cypher;C5 - deathPlayerConflict;1036
constraints.cypher;C6 - playerAgeConflict;1280
constraints.cypher;C7 - playerTooOldConflict;1307
constraints.cypher;C8 - twoTeamsConflict;40629
constraints.cypher;C14 - marriageConflict;478
constraints.cypher;C16 - birthMarriageConflict;43
constraints.cypher;C17 - deathMarriageConflict;66
constraints.cypher;C18 - playerCoachConflict;8
constraints.cypher;C19 - twoCompaniesConflict;27
constraints.cypher;TOTAL;62192

stats.cypher;Nb triplets;1
stats.cypher;Nb "o";0
stats.cypher;Nb "s";0
stats.cypher;nb "p";0
stats.cypher;Nb "p" links distribution;0
stats.cypher;Nb conflicts distribution;0
stats.cypher;Nb temporal conflicts;1
stats.cypher;Distribution of linked "o";0
results.cypher;mapping_Neo4j_wikidata;1
results.cypher;noConflicts;0
results.cypher;conflicts;0
