
;NB_triplets
Nb triplets;109234

;NB_o
Nb "o";26922

;NB_s
Nb "s";18597

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q601723";79
Distribution of linked "o";"Q153535";79
Distribution of linked "o";"Q1128631";79
Distribution of linked "o";"Q620499";79
Distribution of linked "o";"Q3873511";78
Distribution of linked "o";"Q105853";78
Distribution of linked "o";"Q173009";78
Distribution of linked "o";"Q498536";78
Distribution of linked "o";"Q304146";78
Distribution of linked "o";"Q18711";77
Distribution of linked "o";"Q105844";77
Distribution of linked "o";"Q41420";75
Distribution of linked "o";"Q1270152";75
Distribution of linked "o";"Q182876";74
Distribution of linked "o";"Q18656";74
Distribution of linked "o";"Q18744";74
Distribution of linked "o";"Q10467";74
Distribution of linked "o";"Q182740";74
Distribution of linked "o";"Q18736";73
Distribution of linked "o";"Q2266580";73
Distribution of linked "o";"Q219120";73
Distribution of linked "o";"Q15786";73
Distribution of linked "o";"Q249662";73
Distribution of linked "o";"Q170125";73
Distribution of linked "o";"Q310608";73
Distribution of linked "o";"Q2331381";73
Distribution of linked "o";"Q2310295";71
Distribution of linked "o";"Q845137";71
Distribution of linked "o";"Q166776";71
Distribution of linked "o";"Q1464421";70
Distribution of linked "o";"Q128446";70
Distribution of linked "o";"Q1998181";69
Distribution of linked "o";"Q2272209";69
Distribution of linked "o";"Q543842";69
Distribution of linked "o";"Q22707";68
Distribution of linked "o";"Q161034";68
Distribution of linked "o";"Q19444";68
Distribution of linked "o";"Q2387559";68
Distribution of linked "o";"Q302967";68
Distribution of linked "o";"Q11938";67
Distribution of linked "o";"Q218372";67
Distribution of linked "o";"Q2347256";67
Distribution of linked "o";"Q1202771";67
Distribution of linked "o";"Q154293";67
Distribution of linked "o";"Q211401";67
Distribution of linked "o";"Q488454";67
Distribution of linked "o";"Q816779";67
Distribution of linked "o";"Q748445";66
Distribution of linked "o";"Q141882";66
Distribution of linked "o";"Q854932";66
Distribution of linked "o";"Q134479";66
Distribution of linked "o";"Q788363";66
Distribution of linked "o";"Q3590024";65
Distribution of linked "o";"Q1672798";65
Distribution of linked "o";"Q2331232";65
Distribution of linked "o";"Q19593";65
Distribution of linked "o";"Q170566";65
Distribution of linked "o";"Q8682";64
Distribution of linked "o";"Q190978";64
Distribution of linked "o";"Q28089";64
Distribution of linked "o";"Q2627402";64
Distribution of linked "o";"Q749138";64
Distribution of linked "o";"Q160826";64
Distribution of linked "o";"Q131785";64
Distribution of linked "o";"Q541744";64
Distribution of linked "o";"Q8806";63
Distribution of linked "o";"Q844271";63
Distribution of linked "o";"Q6502565";63
Distribution of linked "o";"Q29103";62
Distribution of linked "o";"Q1775265";62
Distribution of linked "o";"Q918209";62
Distribution of linked "o";"Q19453";62
Distribution of linked "o";"19440101";62
Distribution of linked "o";"Q3589896";62
Distribution of linked "o";"Q3873503";61
Distribution of linked "o";"Q134916";61
Distribution of linked "o";"Q265570";61
Distribution of linked "o";"Q5014111";61
Distribution of linked "o";"Q952351";61
Distribution of linked "o";"Q2074";60
