
;NB_triplets
Nb triplets;97458

;NB_o
Nb "o";32630

;NB_s
Nb "s";23221

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;58121
Nb "p" links distribution;"P569";NULL;23431
Nb "p" links distribution;"P570";NULL;13590
Nb "p" links distribution;"P26";NULL;1872
Nb "p" links distribution;"P108";NULL;348
Nb "p" links distribution;"P286";NULL;96

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"C1";NULL;521
Nb conflicts distribution;"C0";NULL;651921
Nb conflicts distribution;"C3";NULL;230
Nb conflicts distribution;"C2";NULL;457
Nb conflicts distribution;"C14";NULL;3879
Nb conflicts distribution;"C19";NULL;583
Nb conflicts distribution;"C8";NULL;646925
Nb conflicts distribution;"C6";NULL;1740
Nb conflicts distribution;"C7";NULL;8
Nb conflicts distribution;"C16";NULL;1
Nb conflicts distribution;"C4";NULL;19
Nb conflicts distribution;"C17";NULL;1

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;0;0;0;0;0

;o_ID;NB
Distribution of linked "o";"Q83459";386
Distribution of linked "o";"Q204238";363
Distribution of linked "o";"Q314851";361
Distribution of linked "o";"Q47762";360
Distribution of linked "o";"Q1277549";330
Distribution of linked "o";"Q2016992";291
Distribution of linked "o";"Q316497";289
Distribution of linked "o";"Q1129595";287
Distribution of linked "o";"Q42267";268
Distribution of linked "o";"Q47774";262
Distribution of linked "o";"Q324854";236
Distribution of linked "o";"Q676899";230
Distribution of linked "o";"Q43310";227
Distribution of linked "o";"Q4512";224
Distribution of linked "o";"Q80964";220
Distribution of linked "o";"Q7156";218
Distribution of linked "o";"Q922698";212
Distribution of linked "o";"Q1543";193
Distribution of linked "o";"Q79800";192
Distribution of linked "o";"Q631";189
Distribution of linked "o";"Q47050";186
Distribution of linked "o";"Q270995";174
Distribution of linked "o";"Q1130849";172
Distribution of linked "o";"Q8701";170
Distribution of linked "o";"Q2308235";170
Distribution of linked "o";"Q1811026";169
Distribution of linked "o";"Q132885";168
Distribution of linked "o";"Q9617";167
Distribution of linked "o";"Q2356290";166
Distribution of linked "o";"Q2713491";165
Distribution of linked "o";"Q80955";157
Distribution of linked "o";"Q319699";151
Distribution of linked "o";"Q18708";151
Distribution of linked "o";"Q18747";149
Distribution of linked "o";"Q80987";149
Distribution of linked "o";"Q499616";149
Distribution of linked "o";"Q18739";146
Distribution of linked "o";"Q5794";146
Distribution of linked "o";"Q506832";145
Distribution of linked "o";"Q514714";144
Distribution of linked "o";"Q483020";144
Distribution of linked "o";"Q2358861";141
Distribution of linked "o";"Q495299";139
Distribution of linked "o";"Q131499";137
Distribution of linked "o";"Q1630430";137
Distribution of linked "o";"Q2739";136
Distribution of linked "o";"Q678582";136
Distribution of linked "o";"Q18716";135
Distribution of linked "o";"Q104761";135
Distribution of linked "o";"Q1110944";135
Distribution of linked "o";"Q188277";135
Distribution of linked "o";"Q6601875";133
