
;NB_triplets
Nb triplets;194420

;NB_o
Nb "o";31538

;NB_s
Nb "s";22890

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q152424";160
Distribution of linked "o";"Q816779";160
Distribution of linked "o";"Q18656";158
Distribution of linked "o";"Q3590033";158
Distribution of linked "o";"Q1270152";158
Distribution of linked "o";"Q172476";156
Distribution of linked "o";"Q201360";156
Distribution of linked "o";"Q19446";156
Distribution of linked "o";"Q190978";154
Distribution of linked "o";"Q2272209";154
Distribution of linked "o";"Q15786";154
Distribution of linked "o";"Q815515";154
Distribution of linked "o";"Q204675";152
Distribution of linked "o";"Q18736";150
Distribution of linked "o";"Q19573";150
Distribution of linked "o";"Q899189";150
Distribution of linked "o";"Q128446";150
Distribution of linked "o";"Q3873524";150
Distribution of linked "o";"Q4140019";150
Distribution of linked "o";"Q19451";148
Distribution of linked "o";"Q8466";148
Distribution of linked "o";"Q131209";148
Distribution of linked "o";"Q2331381";148
Distribution of linked "o";"Q994811";148
Distribution of linked "o";"Q11938";146
Distribution of linked "o";"Q704";146
Distribution of linked "o";"Q170566";146
Distribution of linked "o";"Q8682";144
Distribution of linked "o";"Q3873527";144
Distribution of linked "o";"Q106394";144
Distribution of linked "o";"Q158121";144
Distribution of linked "o";"Q204888";144
Distribution of linked "o";"Q268208";144
Distribution of linked "o";"Q164134";144
Distribution of linked "o";"Q844271";142
Distribution of linked "o";"Q19462";142
Distribution of linked "o";"Q105853";142
Distribution of linked "o";"Q8857";142
Distribution of linked "o";"Q19580";140
Distribution of linked "o";"Q187528";140
Distribution of linked "o";"Q190561";140
Distribution of linked "o";"Q698702";138
Distribution of linked "o";"Q134479";138
Distribution of linked "o";"Q2255267";138
Distribution of linked "o";"Q10467";136
Distribution of linked "o";"Q483856";136
Distribution of linked "o";"Q18721";136
Distribution of linked "o";"Q131785";136
Distribution of linked "o";"Q3873512";136
Distribution of linked "o";"Q10319";134
Distribution of linked "o";"Q19593";134
Distribution of linked "o";"Q164089";134
Distribution of linked "o";"Q163547";134
Distribution of linked "o";"Q3873546";134
Distribution of linked "o";"Q5014111";134
Distribution of linked "o";"Q275612";134
Distribution of linked "o";"Q338285";134
Distribution of linked "o";"Q1202768";132
Distribution of linked "o";"Q3589896";132
Distribution of linked "o";"Q1893";132
Distribution of linked "o";"Q181190";132
Distribution of linked "o";"Q788363";132
Distribution of linked "o";"Q298217";132
Distribution of linked "o";"Q19490";130
Distribution of linked "o";"Q3589775";130
Distribution of linked "o";"Q8760";130
Distribution of linked "o";"Q482449";130
Distribution of linked "o";"Q4122219";128
Distribution of linked "o";"Q22707";128
Distribution of linked "o";"Q18750";128
Distribution of linked "o";"Q1672798";128
Distribution of linked "o";"Q3873513";128
Distribution of linked "o";"Q541744";128
Distribution of linked "o";"Q170703";126
Distribution of linked "o";"Q2266580";126
Distribution of linked "o";"Q19481";124
Distribution of linked "o";"Q1812121";124
Distribution of linked "o";"Q17354166";124
Distribution of linked "o";"Q274465";122
Distribution of linked "o";"Q19568";122
Distribution of linked "o";"Q302977";122
Distribution of linked "o";"Q459090";122
Distribution of linked "o";"Q208406";122
Distribution of linked "o";"Q952351";122
Distribution of linked "o";"Q838534";122
Distribution of linked "o";"Q17228";120
Distribution of linked "o";"Q8723";120
Distribution of linked "o";"Q41420";120
Distribution of linked "o";"Q845859";120
Distribution of linked "o";"Q19603";120
Distribution of linked "o";"Q50602";118
Distribution of linked "o";"Q844931";118
