STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;152
inference.cypher;TOTAL;152

constraints.cypher;Partial Temporal Consistency;561
constraints.cypher;Partial Temporal Inconsistency;2740
constraints.cypher;Total Temporal Inconsistency;1023
constraints.cypher;C1 - birthDateConflict;133
constraints.cypher;C1-1 - birthDateConflictPolarity;90
constraints.cypher;C2 - deathDateConflict;97
constraints.cypher;C2-1 - deathDateConflictPolarity;47
constraints.cypher;C3 - birthDeathConflict;118
constraints.cypher;C4 - birthPlayerConflict;25
constraints.cypher;C4 - birthPlayerConflict;272
constraints.cypher;C5 - deathPlayerConflict;95
constraints.cypher;C6 - playerAgeConflict;360
constraints.cypher;C7 - playerTooOldConflict;430
constraints.cypher;C8 - twoTeamsConflict;45109
constraints.cypher;C14 - marriageConflict;138
constraints.cypher;C16 - birthMarriageConflict;42
constraints.cypher;C17 - deathMarriageConflict;26
constraints.cypher;C18 - playerCoachConflict;75
constraints.cypher;C19 - twoCompaniesConflict;11
constraints.cypher;C6 - playerAgeConflict;258
constraints.cypher;TOTAL;51650

stats.cypher;Nb triplets;175
stats.cypher;Nb "o";68
stats.cypher;Nb "s";67
stats.cypher;nb "p";65
stats.cypher;Nb "p" links distribution;107
stats.cypher;Nb conflicts distribution;1826
stats.cypher;Nb temporal conflicts;1321
stats.cypher;Distribution of linked "o";99
results.cypher;mapping_Neo4j_wikidata;369
results.cypher;inferredNodes;53
results.cypher;tCon_noConflicts;2
results.cypher;tCon_conflicts;1739
results.cypher;pCon_noConflicts;4306
results.cypher;pCon_conflicts;4017
results.cypher;pInc_noConflicts;4403
results.cypher;pInc_conflicts;4073
results.cypher;tInc_noConflicts;4521
results.cypher;tInc_conflicts;4180
