STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;4032
delete.cypher;TOTAL;4032

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;12

graphSetting.cypher;dataset loading;509
graphSetting.cypher;TOTAL;509

constraints.cypher;Partial Temporal Consistency;77
constraints.cypher;Partial Temporal Inconsistency;313
constraints.cypher;Total Temporal Inconsistency;206
constraints.cypher;C1 - birthDateConflict;31
constraints.cypher;C1-1 - birthDateConflictPolarity;25
constraints.cypher;C2 - deathDateConflict;29
constraints.cypher;C2-1 - deathDateConflictPolarity;6
constraints.cypher;C3 - birthDeathConflict;33
constraints.cypher;C4 - birthPlayerConflict;27
constraints.cypher;C4 - birthPlayerConflict;81
constraints.cypher;C5 - deathPlayerConflict;30
constraints.cypher;C6 - playerAgeConflict;64
constraints.cypher;C7 - playerTooOldConflict;51
constraints.cypher;C8 - twoTeamsConflict;1815
constraints.cypher;C14 - marriageConflict;82
constraints.cypher;C16 - birthMarriageConflict;6
constraints.cypher;C17 - deathMarriageConflict;5
constraints.cypher;C18 - playerCoachConflict;39
constraints.cypher;C19 - twoCompaniesConflict;10
constraints.cypher;C6 - playerAgeConflict;58
constraints.cypher;TOTAL;2988

stats.cypher;Nb triplets;16
stats.cypher;Nb "o";7
stats.cypher;Nb "s";6
stats.cypher;nb "p";6
stats.cypher;Nb "p" links distribution;10
stats.cypher;Nb conflicts distribution;54
stats.cypher;Nb temporal conflicts;50
stats.cypher;Distribution of linked "o";9
results.cypher;mapping_Neo4j_wikidata;32
results.cypher;inferredNodes;6
results.cypher;tCon_noConflicts;11
results.cypher;tCon_conflicts;61
results.cypher;pCon_noConflicts;148
results.cypher;pCon_conflicts;129
results.cypher;pInc_noConflicts;146
results.cypher;pInc_conflicts;128
results.cypher;tInc_noConflicts;144
results.cypher;tInc_conflicts;127
