STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;178
inference.cypher;TOTAL;178

constraints.cypher;Partial Temporal Consistency;422
constraints.cypher;Partial Temporal Inconsistency;2689
constraints.cypher;Total Temporal Inconsistency;872
constraints.cypher;C1 - birthDateConflict;127
constraints.cypher;C1-1 - birthDateConflictPolarity;79
constraints.cypher;C2 - deathDateConflict;79
constraints.cypher;C2-1 - deathDateConflictPolarity;42
constraints.cypher;C3 - birthDeathConflict;100
constraints.cypher;C4 - birthPlayerConflict;24
constraints.cypher;C4 - birthPlayerConflict;286
constraints.cypher;C5 - deathPlayerConflict;92
constraints.cypher;C6 - playerAgeConflict;365
constraints.cypher;C7 - playerTooOldConflict;417
constraints.cypher;C8 - twoTeamsConflict;50303
constraints.cypher;C14 - marriageConflict;198
constraints.cypher;C16 - birthMarriageConflict;30
constraints.cypher;C17 - deathMarriageConflict;19
constraints.cypher;C18 - playerCoachConflict;89
constraints.cypher;C19 - twoCompaniesConflict;11
constraints.cypher;C6 - playerAgeConflict;246
constraints.cypher;TOTAL;56490

stats.cypher;Nb triplets;129
stats.cypher;Nb "o";54
stats.cypher;Nb "s";54
stats.cypher;nb "p";53
stats.cypher;Nb "p" links distribution;81
stats.cypher;Nb conflicts distribution;2107
stats.cypher;Nb temporal conflicts;1492
stats.cypher;Distribution of linked "o";75
results.cypher;mapping_Neo4j_wikidata;33
results.cypher;inferredNodes;44
results.cypher;tCon_noConflicts;7
results.cypher;tCon_conflicts;2000
results.cypher;pCon_noConflicts;4976
results.cypher;pCon_conflicts;4630
results.cypher;pInc_noConflicts;5209
results.cypher;pInc_conflicts;4747
results.cypher;tInc_noConflicts;5256
results.cypher;tInc_conflicts;4803
