STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;2154
delete.cypher;TOTAL;2154

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;765
graphSetting.cypher;TOTAL;765

constraints.cypher;Partial Temporal Consistency;126
constraints.cypher;Partial Temporal Inconsistency;1036
constraints.cypher;Total Temporal Inconsistency;317
constraints.cypher;C1 - birthDateConflict;44
constraints.cypher;C1-1 - birthDateConflictPolarity;29
constraints.cypher;C2 - deathDateConflict;32
constraints.cypher;C2-1 - deathDateConflictPolarity;8
constraints.cypher;C3 - birthDeathConflict;38
constraints.cypher;C4 - birthPlayerConflict;26
constraints.cypher;C4 - birthPlayerConflict;87
constraints.cypher;C5 - deathPlayerConflict;34
constraints.cypher;C6 - playerAgeConflict;125
constraints.cypher;C7 - playerTooOldConflict;136
constraints.cypher;C8 - twoTeamsConflict;15086
constraints.cypher;C14 - marriageConflict;45
constraints.cypher;C16 - birthMarriageConflict;9
constraints.cypher;C17 - deathMarriageConflict;5
constraints.cypher;C18 - playerCoachConflict;15
constraints.cypher;C19 - twoCompaniesConflict;9
constraints.cypher;C6 - playerAgeConflict;63
constraints.cypher;TOTAL;17270

stats.cypher;Nb triplets;26
stats.cypher;Nb "o";11
stats.cypher;Nb "s";11
stats.cypher;nb "p";10
stats.cypher;Nb "p" links distribution;16
stats.cypher;Nb conflicts distribution;514
stats.cypher;Nb temporal conflicts;360
stats.cypher;Distribution of linked "o";14
results.cypher;mapping_Neo4j_wikidata;54
results.cypher;inferredNodes;10
results.cypher;tCon_noConflicts;7
results.cypher;tCon_conflicts;516
results.cypher;pCon_noConflicts;1264
results.cypher;pCon_conflicts;1186
results.cypher;pInc_noConflicts;1292
results.cypher;pInc_conflicts;1309
results.cypher;tInc_noConflicts;1306
results.cypher;tInc_conflicts;1222
