STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;2556
delete.cypher;TOTAL;2556

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;10

graphSetting.cypher;dataset loading;2868
graphSetting.cypher;TOTAL;2868

constraints.cypher;Partial Temporal Consistency;188
constraints.cypher;Partial Temporal Inconsistency;1500
constraints.cypher;Total Temporal Inconsistency;551
constraints.cypher;C1 - birthDateConflict;89
constraints.cypher;C1-1 - birthDateConflictPolarity;54
constraints.cypher;C2 - deathDateConflict;62
constraints.cypher;C2-1 - deathDateConflictPolarity;25
constraints.cypher;C3 - birthDeathConflict;73
constraints.cypher;C4 - birthPlayerConflict;24
constraints.cypher;C4 - birthPlayerConflict;158
constraints.cypher;C5 - deathPlayerConflict;65
constraints.cypher;C6 - playerAgeConflict;366
constraints.cypher;C7 - playerTooOldConflict;258
constraints.cypher;C8 - twoTeamsConflict;25647
constraints.cypher;C14 - marriageConflict;68
constraints.cypher;C16 - birthMarriageConflict;22
constraints.cypher;C17 - deathMarriageConflict;15
constraints.cypher;C18 - playerCoachConflict;41
constraints.cypher;C19 - twoCompaniesConflict;8
constraints.cypher;C6 - playerAgeConflict;154
constraints.cypher;TOTAL;29368

stats.cypher;Nb triplets;87
stats.cypher;Nb "o";34
stats.cypher;Nb "s";34
stats.cypher;nb "p";33
stats.cypher;Nb "p" links distribution;54
stats.cypher;Nb conflicts distribution;890
stats.cypher;Nb temporal conflicts;613
stats.cypher;Distribution of linked "o";49
results.cypher;mapping_Neo4j_wikidata;74
results.cypher;inferredNodes;27
results.cypher;tCon_noConflicts;6
results.cypher;tCon_conflicts;871
results.cypher;pCon_noConflicts;2150
results.cypher;pCon_conflicts;2092
results.cypher;pInc_noConflicts;2225
results.cypher;pInc_conflicts;2009
results.cypher;tInc_noConflicts;2225
results.cypher;tInc_conflicts;2180
