STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;129
delete.cypher;delete nodes;2
delete.cypher;TOTAL;131

schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;9

graphSetting.cypher;dataset loading;1405
graphSetting.cypher;TOTAL;1405

constraints.cypher;C0 - Strict Temporal Consistency;1468
constraints.cypher;C1 - birthDateConflict;46
constraints.cypher;C2 - deathDateConflict;9
constraints.cypher;C3 - birthDeathConflict;53
constraints.cypher;C4 - birthPlayerConflict;52
constraints.cypher;C5 - deathPlayerConflict;40
constraints.cypher;C6 - playerAgeConflict;252
constraints.cypher;C7 - playerTooOldConflict;207
constraints.cypher;C8 - twoTeamsConflict;1603
constraints.cypher;C14 - marriageConflict;162
constraints.cypher;C16 - birthMarriageConflict;37
constraints.cypher;C17 - deathMarriageConflict;7
constraints.cypher;C18 - playerCoachConflict;32
constraints.cypher;C19 - twoCompaniesConflict;8
constraints.cypher;TOTAL;3976

stats.cypher;Nb triplets;14
stats.cypher;Nb "o";8
stats.cypher;Nb "s";8
stats.cypher;nb "p";8
stats.cypher;Nb "p" links distribution;10
stats.cypher;Nb conflicts distribution;9
stats.cypher;Nb temporal conflicts;23
stats.cypher;Distribution of linked "o";9
results.cypher;mapping_Neo4j_wikidata;59
results.cypher;noConflicts;23
results.cypher;conflicts;22
