
;NB_triplets
Nb triplets;48751

;NB_o
Nb "o";22185

;NB_s
Nb "s";14637

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q748445";34
Distribution of linked "o";"Q2693";34
Distribution of linked "o";"Q157463";34
Distribution of linked "o";"Q19490";34
Distribution of linked "o";"Q50602";33
Distribution of linked "o";"Q47050";33
Distribution of linked "o";"Q2798";33
Distribution of linked "o";"Q101859";33
Distribution of linked "o";"Q190561";33
Distribution of linked "o";"Q749138";33
Distribution of linked "o";"Q107818";33
Distribution of linked "o";"Q223262";33
Distribution of linked "o";"Q488454";33
Distribution of linked "o";"Q19521";32
Distribution of linked "o";"Q16845355";32
Distribution of linked "o";"Q161034";32
Distribution of linked "o";"Q19453";32
Distribution of linked "o";"Q1128631";32
Distribution of linked "o";"Q15799";32
Distribution of linked "o";"Q35933";32
Distribution of linked "o";"Q506832";32
Distribution of linked "o";"Q302967";32
Distribution of linked "o";"Q19500";31
Distribution of linked "o";"19440101";31
Distribution of linked "o";"Q187528";31
Distribution of linked "o";"Q141882";31
Distribution of linked "o";"Q498536";31
Distribution of linked "o";"Q1270152";31
Distribution of linked "o";"Q165141";31
Distribution of linked "o";"Q1023185";31
Distribution of linked "o";"Q18656";30
Distribution of linked "o";"Q218372";30
Distribution of linked "o";"Q270995";30
Distribution of linked "o";"Q1775265";30
Distribution of linked "o";"Q19467";30
Distribution of linked "o";"19450101";30
Distribution of linked "o";"Q10467";30
Distribution of linked "o";"Q2331232";30
Distribution of linked "o";"Q81888";30
Distribution of linked "o";"Q28089";30
Distribution of linked "o";"Q1195647";30
Distribution of linked "o";"Q2347256";29
Distribution of linked "o";"Q1156317";29
Distribution of linked "o";"Q15755";29
Distribution of linked "o";"Q170561";29
Distribution of linked "o";"Q1754506";29
Distribution of linked "o";"Q1322550";29
Distribution of linked "o";"Q849823";28
Distribution of linked "o";"Q19451";28
Distribution of linked "o";"Q18744";28
Distribution of linked "o";"Q3873511";28
Distribution of linked "o";"Q918209";28
Distribution of linked "o";"Q483868";28
Distribution of linked "o";"Q3873503";28
Distribution of linked "o";"Q38568";28
Distribution of linked "o";"Q665920";28
Distribution of linked "o";"Q1110944";28
Distribution of linked "o";"Q865720";28
Distribution of linked "o";"Q2627402";28
Distribution of linked "o";"Q211401";28
Distribution of linked "o";"Q1894039";28
Distribution of linked "o";"Q605055";28
Distribution of linked "o";"Q19477";27
Distribution of linked "o";"19430101";27
Distribution of linked "o";"15000101";27
Distribution of linked "o";"Q153539";27
Distribution of linked "o";"Q274465";27
Distribution of linked "o";"Q131215";27
Distribution of linked "o";"Q107421";27
Distribution of linked "o";"Q575370";27
Distribution of linked "o";"Q2476133";27
Distribution of linked "o";"Q2641";26
Distribution of linked "o";"Q730809";26
Distribution of linked "o";"Q1998181";26
Distribution of linked "o";"Q1672798";26
Distribution of linked "o";"Q19444";26
Distribution of linked "o";"Q1049171";26
Distribution of linked "o";"Q2266580";26
Distribution of linked "o";"Q249662";26
Distribution of linked "o";"Q155218";26
Distribution of linked "o";"Q920294";26
Distribution of linked "o";"Q159936";26
Distribution of linked "o";"Q479351";26
Distribution of linked "o";"Q482449";26
Distribution of linked "o";"Q8806";25
Distribution of linked "o";"Q19481";25
Distribution of linked "o";"Q1464421";25
Distribution of linked "o";"Q495929";25
Distribution of linked "o";"Q154293";25
Distribution of linked "o";"Q218282";25
Distribution of linked "o";"Q4122219";24
Distribution of linked "o";"19650101";24
Distribution of linked "o";"Q18711";24
Distribution of linked "o";"Q9426";24
Distribution of linked "o";"Q12249";24
Distribution of linked "o";"Q182740";24
Distribution of linked "o";"Q134916";24
Distribution of linked "o";"Q203573";24
Distribution of linked "o";"Q173009";24
Distribution of linked "o";"Q4201740";24
Distribution of linked "o";"Q18521";24
Distribution of linked "o";"Q11938";23
Distribution of linked "o";"Q141931";23
Distribution of linked "o";"Q155730";23
Distribution of linked "o";"Q18736";23
Distribution of linked "o";"Q19578";23
Distribution of linked "o";"Q221671";23
Distribution of linked "o";"Q19573";23
Distribution of linked "o";"19630101";23
Distribution of linked "o";"Q128148";23
Distribution of linked "o";"Q19593";23
Distribution of linked "o";"Q221695";23
Distribution of linked "o";"Q188363";23
Distribution of linked "o";"Q769512";23
Distribution of linked "o";"Q1389147";23
Distribution of linked "o";"Q332664";23
Distribution of linked "o";"Q137499";23
Distribution of linked "o";"Q3446766";23
Distribution of linked "o";"Q208406";23
Distribution of linked "o";"Q377953";23
Distribution of linked "o";"Q3590024";22
Distribution of linked "o";"Q19509";22
Distribution of linked "o";"Q1049176";22
Distribution of linked "o";"19620101";22
Distribution of linked "o";"19510101";22
Distribution of linked "o";"Q161554";22
Distribution of linked "o";"19530101";22
Distribution of linked "o";"19490101";22
Distribution of linked "o";"Q847587";22
