STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;469
delete.cypher;TOTAL;469

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;247
graphSetting.cypher;TOTAL;247

constraints.cypher;C0 - Strict Temporal Consistency;1334
constraints.cypher;C1 - birthDateConflict;7
constraints.cypher;C2 - deathDateConflict;4
constraints.cypher;C3 - birthDeathConflict;10
constraints.cypher;C4 - birthPlayerConflict;27
constraints.cypher;C5 - deathPlayerConflict;9
constraints.cypher;C6 - playerAgeConflict;27
constraints.cypher;C7 - playerTooOldConflict;29
constraints.cypher;C8 - twoTeamsConflict;2310
constraints.cypher;C14 - marriageConflict;111
constraints.cypher;C16 - birthMarriageConflict;6
constraints.cypher;C17 - deathMarriageConflict;4
constraints.cypher;C18 - playerCoachConflict;11
constraints.cypher;C19 - twoCompaniesConflict;20
constraints.cypher;TOTAL;3909

stats.cypher;Nb triplets;1
stats.cypher;Nb "o";1
stats.cypher;Nb "s";1
stats.cypher;nb "p";0
stats.cypher;Nb "p" links distribution;0
stats.cypher;Nb conflicts distribution;0
stats.cypher;Nb temporal conflicts;1
stats.cypher;Distribution of linked "o";1
results.cypher;mapping_Neo4j_wikidata;7
results.cypher;noConflicts;1
results.cypher;conflicts;1
