STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;470
delete.cypher;TOTAL;470

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;324
graphSetting.cypher;TOTAL;324

constraints.cypher;C0 - Strict Temporal Consistency;1681
constraints.cypher;C1 - birthDateConflict;4
constraints.cypher;C2 - deathDateConflict;7
constraints.cypher;C3 - birthDeathConflict;12
constraints.cypher;C4 - birthPlayerConflict;31
constraints.cypher;C5 - deathPlayerConflict;14
constraints.cypher;C6 - playerAgeConflict;28
constraints.cypher;C7 - playerTooOldConflict;25
constraints.cypher;C8 - twoTeamsConflict;2281
constraints.cypher;C14 - marriageConflict;113
constraints.cypher;C16 - birthMarriageConflict;3
constraints.cypher;C17 - deathMarriageConflict;30
constraints.cypher;C18 - playerCoachConflict;14
constraints.cypher;C19 - twoCompaniesConflict;29
constraints.cypher;TOTAL;4272

stats.cypher;Nb triplets;1
stats.cypher;Nb "o";1
stats.cypher;Nb "s";0
stats.cypher;nb "p";0
stats.cypher;Nb "p" links distribution;0
stats.cypher;Nb conflicts distribution;0
stats.cypher;Nb temporal conflicts;1
stats.cypher;Distribution of linked "o";1
results.cypher;mapping_Neo4j_wikidata;0
results.cypher;noConflicts;1
results.cypher;conflicts;0
