STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;62021
delete.cypher;TOTAL;62021

schema.cypher;indices;3
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;12

graphSetting.cypher;dataset loading;71669
graphSetting.cypher;TOTAL;71669

constraints.cypher;C0 - Strict Temporal Consistency;774173
constraints.cypher;C1 - birthDateConflict;816
constraints.cypher;C2 - deathDateConflict;402
constraints.cypher;C3 - birthDeathConflict;913
constraints.cypher;C4 - birthPlayerConflict;5295
constraints.cypher;C5 - deathPlayerConflict;662
constraints.cypher;C6 - playerAgeConflict;10452
constraints.cypher;C7 - playerTooOldConflict;12447
constraints.cypher;C8 - twoTeamsConflict;1490600
constraints.cypher;C14 - marriageConflict;1303
constraints.cypher;C16 - birthMarriageConflict;461
constraints.cypher;C17 - deathMarriageConflict;163
constraints.cypher;C18 - playerCoachConflict;515
constraints.cypher;C19 - twoCompaniesConflict;4780
constraints.cypher;TOTAL;2302982

stats.cypher;Nb triplets;1121
stats.cypher;Nb "o";461
stats.cypher;Nb "s";459
stats.cypher;nb "p";449
stats.cypher;Nb "p" links distribution;703
stats.cypher;Nb conflicts distribution;114857
stats.cypher;Nb temporal conflicts;96723
stats.cypher;Distribution of linked "o";771
results.cypher;mapping_Neo4j_wikidata;2414
results.cypher;noConflicts;26
results.cypher;conflicts;64160
