
;NB_triplets
Nb triplets;221091

;NB_o
Nb "o";41331

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q1457";170
Distribution of linked "o";"Q1772776";169
Distribution of linked "o";"Q32494";169
Distribution of linked "o";"Q815515";168
Distribution of linked "o";"Q19453";167
Distribution of linked "o";"Q543842";167
Distribution of linked "o";"Q164089";166
Distribution of linked "o";"Q131785";166
Distribution of linked "o";"Q2819143";165
Distribution of linked "o";"Q5014111";165
Distribution of linked "o";"Q182740";164
Distribution of linked "o";"Q218334";164
Distribution of linked "o";"Q15786";164
Distribution of linked "o";"Q620499";164
Distribution of linked "o";"Q184387";163
Distribution of linked "o";"Q18736";162
Distribution of linked "o";"Q3590033";161
Distribution of linked "o";"Q1270152";161
Distribution of linked "o";"Q8760";161
Distribution of linked "o";"Q8835";160
Distribution of linked "o";"Q204675";160
Distribution of linked "o";"Q704";159
Distribution of linked "o";"Q1672798";157
Distribution of linked "o";"Q19490";157
Distribution of linked "o";"Q187528";156
Distribution of linked "o";"Q51976";156
Distribution of linked "o";"Q50602";155
Distribution of linked "o";"Q2442864";154
Distribution of linked "o";"Q158121";153
Distribution of linked "o";"Q698702";153
Distribution of linked "o";"Q170566";153
Distribution of linked "o";"Q190978";152
Distribution of linked "o";"Q12297";152
Distribution of linked "o";"Q899189";151
Distribution of linked "o";"Q1886";150
Distribution of linked "o";"Q106394";150
Distribution of linked "o";"Q131209";149
Distribution of linked "o";"Q128446";148
Distribution of linked "o";"Q2331232";147
Distribution of linked "o";"Q19593";147
Distribution of linked "o";"Q2175909";147
Distribution of linked "o";"Q816779";147
Distribution of linked "o";"Q1812121";146
Distribution of linked "o";"Q19462";146
Distribution of linked "o";"Q105853";146
Distribution of linked "o";"Q4140019";146
Distribution of linked "o";"Q185163";145
Distribution of linked "o";"Q2272209";145
Distribution of linked "o";"Q601723";144
Distribution of linked "o";"Q8780";144
Distribution of linked "o";"Q1202757";144
Distribution of linked "o";"Q3873546";144
Distribution of linked "o";"Q18732";144
Distribution of linked "o";"Q10467";143
Distribution of linked "o";"Q219098";143
Distribution of linked "o";"Q290940";143
Distribution of linked "o";"Q3873524";142
Distribution of linked "o";"Q181190";142
Distribution of linked "o";"Q4122219";141
Distribution of linked "o";"Q1998181";141
Distribution of linked "o";"Q2266580";141
Distribution of linked "o";"Q170703";139
Distribution of linked "o";"Q204888";139
Distribution of linked "o";"Q19451";138
Distribution of linked "o";"Q190561";138
Distribution of linked "o";"Q541744";138
Distribution of linked "o";"Q3873503";137
Distribution of linked "o";"Q80958";137
Distribution of linked "o";"Q155186";136
Distribution of linked "o";"Q10319";136
Distribution of linked "o";"Q1202768";136
Distribution of linked "o";"Q101859";135
Distribution of linked "o";"Q3873512";134
Distribution of linked "o";"Q844271";133
Distribution of linked "o";"Q788363";132
Distribution of linked "o";"Q1049176";131
Distribution of linked "o";"Q321061";131
Distribution of linked "o";"Q19568";131
Distribution of linked "o";"Q131603";131
Distribution of linked "o";"Q19446";131
Distribution of linked "o";"Q2446294";130
Distribution of linked "o";"Q575370";130
Distribution of linked "o";"Q19481";128
Distribution of linked "o";"Q212269";128
Distribution of linked "o";"Q22707";127
Distribution of linked "o";"Q170125";127
Distribution of linked "o";"Q17354166";127
Distribution of linked "o";"Q3589896";127
Distribution of linked "o";"Q165141";127
Distribution of linked "o";"Q18750";126
Distribution of linked "o";"Q302977";126
Distribution of linked "o";"Q332664";126
Distribution of linked "o";"Q482449";126
Distribution of linked "o";"Q19573";125
Distribution of linked "o";"Q459090";125
Distribution of linked "o";"Q18721";125
Distribution of linked "o";"Q8857";124
Distribution of linked "o";"Q10300";123
Distribution of linked "o";"Q1187790";123
Distribution of linked "o";"Q17228";122
Distribution of linked "o";"Q128148";122
Distribution of linked "o";"Q7855039";122
Distribution of linked "o";"Q952351";122
Distribution of linked "o";"Q19477";121
Distribution of linked "o";"Q495929";121
Distribution of linked "o";"Q6651";121
Distribution of linked "o";"Q11938";120
Distribution of linked "o";"Q19500";120
Distribution of linked "o";"Q172020";120
Distribution of linked "o";"Q852033";120
Distribution of linked "o";"Q153535";119
Distribution of linked "o";"Q8749";119
Distribution of linked "o";"Q8723";119
Distribution of linked "o";"Q274465";119
Distribution of linked "o";"Q845859";119
Distribution of linked "o";"Q844238";119
Distribution of linked "o";"Q298217";119
Distribution of linked "o";"Q180305";118
Distribution of linked "o";"Q41420";118
Distribution of linked "o";"Q154293";118
Distribution of linked "o";"Q19444";117
Distribution of linked "o";"Q6767";117
Distribution of linked "o";"Q105844";116
Distribution of linked "o";"Q182072";115
Distribution of linked "o";"Q6630";114
Distribution of linked "o";"Q844931";113
Distribution of linked "o";"Q310608";113
Distribution of linked "o";"Q6641";112
Distribution of linked "o";"Q221671";112
Distribution of linked "o";"Q219120";112
Distribution of linked "o";"Q604589";112
Distribution of linked "o";"Q19628";112
Distribution of linked "o";"Q748445";111
Distribution of linked "o";"Q914086";111
Distribution of linked "o";"Q2387559";111
Distribution of linked "o";"Q223262";111
Distribution of linked "o";"Q1270133";111
Distribution of linked "o";"Q19521";110
Distribution of linked "o";"Q3873511";110
Distribution of linked "o";"Q188363";110
Distribution of linked "o";"Q749113";110
Distribution of linked "o";"Q216032";109
Distribution of linked "o";"Q16344";109
Distribution of linked "o";"Q331650";109
Distribution of linked "o";"Q3446766";109
Distribution of linked "o";"Q335195";109
Distribution of linked "o";"Q388487";109
Distribution of linked "o";"Q19449";108
Distribution of linked "o";"Q7855168";108
Distribution of linked "o";"Q134241";108
Distribution of linked "o";"Q19603";108
Distribution of linked "o";"Q2018";108
Distribution of linked "o";"Q208406";108
Distribution of linked "o";"Q19518";107
Distribution of linked "o";"Q6502565";107
Distribution of linked "o";"Q249662";107
Distribution of linked "o";"Q134925";107
Distribution of linked "o";"Q218372";106
Distribution of linked "o";"Q19470";106
Distribution of linked "o";"Q29112";106
Distribution of linked "o";"Q338285";106
Distribution of linked "o";"Q994701";105
Distribution of linked "o";"Q204204";105
Distribution of linked "o";"Q43710";105
Distribution of linked "o";"Q19516";104
Distribution of linked "o";"Q847587";104
Distribution of linked "o";"Q17497";103
Distribution of linked "o";"Q153539";103
Distribution of linked "o";"Q854932";103
Distribution of linked "o";"Q279043";103
Distribution of linked "o";"Q3589775";103
Distribution of linked "o";"Q219926";103
Distribution of linked "o";"Q186785";103
Distribution of linked "o";"Q2641";101
Distribution of linked "o";"Q8823";101
Distribution of linked "o";"Q129673";100
Distribution of linked "o";"Q838534";100
Distribution of linked "o";"Q172567";99
Distribution of linked "o";"Q174512";99
Distribution of linked "o";"Q328658";99
Distribution of linked "o";"Q75729";98
Distribution of linked "o";"Q2037";98
Distribution of linked "o";"Q29103";97
Distribution of linked "o";"Q18729";97
Distribution of linked "o";"Q10333";97
Distribution of linked "o";"Q8408";97
Distribution of linked "o";"Q855401";97
Distribution of linked "o";"Q186268";97
Distribution of linked "o";"Q1047535";96
Distribution of linked "o";"Q151747";96
Distribution of linked "o";"Q482540";96
Distribution of linked "o";"Q182876";95
Distribution of linked "o";"Q19607";95
Distribution of linked "o";"Q4965058";95
Distribution of linked "o";"Q216510";95
Distribution of linked "o";"Q10315";95
Distribution of linked "o";"Q642408";95
Distribution of linked "o";"Q19473";94
Distribution of linked "o";"Q586787";94
Distribution of linked "o";"Q327238";94
Distribution of linked "o";"Q1131732";94
Distribution of linked "o";"Q5645566";94
Distribution of linked "o";"Q8806";93
Distribution of linked "o";"Q19498";93
Distribution of linked "o";"Q265570";93
Distribution of linked "o";"Q297906";93
Distribution of linked "o";"Q175145";92
Distribution of linked "o";"Q19353";92
Distribution of linked "o";"Q172969";92
Distribution of linked "o";"Q19509";91
Distribution of linked "o";"Q192597";91
Distribution of linked "o";"Q189198";91
Distribution of linked "o";"Q275626";91
Distribution of linked "o";"Q172803";91
Distribution of linked "o";"Q633521";91
Distribution of linked "o";"Q3590024";90
Distribution of linked "o";"Q141931";90
Distribution of linked "o";"Q10308";90
Distribution of linked "o";"Q641373";90
Distribution of linked "o";"Q221882";89
Distribution of linked "o";"Q207441";89
Distribution of linked "o";"Q204237";89
Distribution of linked "o";"Q101959";88
Distribution of linked "o";"Q190943";88
Distribution of linked "o";"Q206692";88
Distribution of linked "o";"Q693951";88
Distribution of linked "o";"Q1195647";88
Distribution of linked "o";"Q15755";88
Distribution of linked "o";"Q7855167";87
Distribution of linked "o";"Q855809";87
Distribution of linked "o";"Q16845355";86
Distribution of linked "o";"Q3590479";86
Distribution of linked "o";"Q845137";86
Distribution of linked "o";"Q1202771";86
Distribution of linked "o";"Q175309";86
Distribution of linked "o";"Q3590274";86
Distribution of linked "o";"Q309456";86
Distribution of linked "o";"Q732929";86
Distribution of linked "o";"Q1812607";86
Distribution of linked "o";"Q188656";85
Distribution of linked "o";"Q498536";85
Distribution of linked "o";"Q105861";85
Distribution of linked "o";"Q385222";85
Distribution of linked "o";"Q3873500";85
Distribution of linked "o";"Q221525";84
Distribution of linked "o";"Q1775265";84
Distribution of linked "o";"Q48879";84
Distribution of linked "o";"Q501693";84
Distribution of linked "o";"Q48951";84
Distribution of linked "o";"Q3873502";84
Distribution of linked "o";"Q142005";84
Distribution of linked "o";"Q1969256";84
Distribution of linked "o";"Q24699";84
Distribution of linked "o";"Q910453";84
Distribution of linked "o";"Q6664";83
Distribution of linked "o";"Q2462207";83
Distribution of linked "o";"Q8639";83
Distribution of linked "o";"Q155218";83
Distribution of linked "o";"Q285722";82
Distribution of linked "o";"Q200321";82
Distribution of linked "o";"Q179075";82
Distribution of linked "o";"Q51974";82
Distribution of linked "o";"Q208584";82
Distribution of linked "o";"Q218282";82
Distribution of linked "o";"Q18661";81
Distribution of linked "o";"Q877411";81
Distribution of linked "o";"Q161554";81
Distribution of linked "o";"Q245162";81
Distribution of linked "o";"Q1683280";81
Distribution of linked "o";"Q1322550";81
Distribution of linked "o";"Q191264";80
Distribution of linked "o";"Q157463";80
Distribution of linked "o";"Q211401";80
Distribution of linked "o";"Q1120838";80
Distribution of linked "o";"Q1051340";80
Distribution of linked "o";"Q28089";79
Distribution of linked "o";"Q2533263";79
Distribution of linked "o";"Q208396";79
Distribution of linked "o";"Q383196";79
Distribution of linked "o";"Q301431";79
Distribution of linked "o";"Q161034";78
Distribution of linked "o";"Q4127955";78
Distribution of linked "o";"Q460448";78
Distribution of linked "o";"Q2674";78
Distribution of linked "o";"Q244595";78
Distribution of linked "o";"Q2341011";78
Distribution of linked "o";"Q19513";77
Distribution of linked "o";"Q849823";77
Distribution of linked "o";"Q191595";77
Distribution of linked "o";"Q218883";77
Distribution of linked "o";"Q769512";77
Distribution of linked "o";"Q1023185";77
Distribution of linked "o";"Q2756";77
Distribution of linked "o";"Q730809";76
Distribution of linked "o";"Q2347256";76
Distribution of linked "o";"19440101";76
Distribution of linked "o";"Q6703";76
Distribution of linked "o";"Q308683";76
Distribution of linked "o";"15000101";76
Distribution of linked "o";"Q141882";76
Distribution of linked "o";"Q659780";76
Distribution of linked "o";"Q603271";76
Distribution of linked "o";"Q1199965";76
Distribution of linked "o";"Q44441";76
Distribution of linked "o";"Q2868235";76
Distribution of linked "o";"Q891679";76
Distribution of linked "o";"Q170040";75
Distribution of linked "o";"Q663400";75
Distribution of linked "o";"Q131215";75
Distribution of linked "o";"Q1062259";75
Distribution of linked "o";"Q15224541";75
Distribution of linked "o";"Q289707";75
Distribution of linked "o";"Q274778";75
Distribution of linked "o";"Q2255212";75
Distribution of linked "o";"Q181216";75
Distribution of linked "o";"Q186262";75
Distribution of linked "o";"Q275612";75
Distribution of linked "o";"Q3873499";75
Distribution of linked "o";"Q364698";74
Distribution of linked "o";"Q646135";74
Distribution of linked "o";"Q2306719";74
Distribution of linked "o";"Q287129";74
Distribution of linked "o";"Q304146";74
Distribution of linked "o";"Q3589895";74
Distribution of linked "o";"Q614987";74
Distribution of linked "o";"Q29108";74
Distribution of linked "o";"Q180845";74
Distribution of linked "o";"Q172025";74
Distribution of linked "o";"Q287804";74
Distribution of linked "o";"Q19598";73
Distribution of linked "o";"Q202093";73
Distribution of linked "o";"Q608122";73
Distribution of linked "o";"Q460494";73
Distribution of linked "o";"Q1770361";73
Distribution of linked "o";"Q3873547";73
Distribution of linked "o";"Q329471";73
Distribution of linked "o";"Q3590572";73
Distribution of linked "o";"Q209509";72
Distribution of linked "o";"Q201584";72
Distribution of linked "o";"Q191843";72
