STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;1331
delete.cypher;TOTAL;1331

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;647
graphSetting.cypher;TOTAL;647

constraints.cypher;Partial Temporal Consistency;99
constraints.cypher;Partial Temporal Inconsistency;723
constraints.cypher;Total Temporal Inconsistency;271
constraints.cypher;C1 - birthDateConflict;41
constraints.cypher;C1-1 - birthDateConflictPolarity;32
constraints.cypher;C2 - deathDateConflict;33
constraints.cypher;C2-1 - deathDateConflictPolarity;7
constraints.cypher;C3 - birthDeathConflict;42
constraints.cypher;C4 - birthPlayerConflict;26
constraints.cypher;C4 - birthPlayerConflict;65
constraints.cypher;C5 - deathPlayerConflict;34
constraints.cypher;C6 - playerAgeConflict;87
constraints.cypher;C7 - playerTooOldConflict;103
constraints.cypher;C8 - twoTeamsConflict;10545
constraints.cypher;C14 - marriageConflict;43
constraints.cypher;C16 - birthMarriageConflict;28
constraints.cypher;C17 - deathMarriageConflict;26
constraints.cypher;C18 - playerCoachConflict;13
constraints.cypher;C19 - twoCompaniesConflict;52
constraints.cypher;C6 - playerAgeConflict;48
constraints.cypher;TOTAL;12318

stats.cypher;Nb triplets;23
stats.cypher;Nb "o";10
stats.cypher;Nb "s";10
stats.cypher;nb "p";10
stats.cypher;Nb "p" links distribution;94
stats.cypher;Nb conflicts distribution;350
stats.cypher;Nb temporal conflicts;250
stats.cypher;Distribution of linked "o";13
results.cypher;mapping_Neo4j_wikidata;46
results.cypher;inferredNodes;9
results.cypher;tCon_noConflicts;3
results.cypher;tCon_conflicts;370
results.cypher;pCon_noConflicts;897
results.cypher;pCon_conflicts;827
results.cypher;pInc_noConflicts;918
results.cypher;pInc_conflicts;850
results.cypher;tInc_noConflicts;940
results.cypher;tInc_conflicts;866
