STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;559
delete.cypher;TOTAL;559

schema.cypher;indices;292
schema.cypher;indices;200
schema.cypher;indices;169
schema.cypher;indices;198
schema.cypher;indices;194
schema.cypher;indices;225
schema.cypher;indices;196
schema.cypher;indices;195
schema.cypher;indices;179
schema.cypher;TOTAL;1848

graphSetting.cypher;dataset loading;257883
graphSetting.cypher;TOTAL;257883

constraints.cypher;C0 - Strict Temporal Consistency;124175
constraints.cypher;C1 - birthDateConflict;398
constraints.cypher;C2 - deathDateConflict;196
constraints.cypher;C3 - birthDeathConflict;543
constraints.cypher;C4 - birthPlayerConflict;1160
constraints.cypher;C5 - deathPlayerConflict;457
constraints.cypher;C6 - playerAgeConflict;1707
constraints.cypher;C7 - playerTooOldConflict;1694
constraints.cypher;C8 - twoTeamsConflict;191547
constraints.cypher;C14 - marriageConflict;876
constraints.cypher;C16 - birthMarriageConflict;151
constraints.cypher;C17 - deathMarriageConflict;81
constraints.cypher;C18 - playerCoachConflict;365
constraints.cypher;C19 - twoCompaniesConflict;336
constraints.cypher;TOTAL;323686

stats.cypher;Nb triplets;893
stats.cypher;Nb "o";359
stats.cypher;Nb "s";339
stats.cypher;nb "p";328
stats.cypher;Nb "p" links distribution;480
stats.cypher;Nb conflicts distribution;9088
stats.cypher;Nb temporal conflicts;7169
stats.cypher;Distribution of linked "o";517
results.cypher;mapping_Neo4j_wikidata;1733
results.cypher;noConflicts;41
results.cypher;conflicts;10387
