
;NB_triplets
Nb triplets;48044

;NB_o
Nb "o";10904

;NB_s
Nb "s";6332

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q9426";44
Distribution of linked "o";"Q748445";44
Distribution of linked "o";"Q18656";42
Distribution of linked "o";"Q5113698";42
Distribution of linked "o";"Q18744";42
Distribution of linked "o";"Q730809";42
Distribution of linked "o";"Q8466";42
Distribution of linked "o";"Q154408";42
Distribution of linked "o";"Q1202762";42
Distribution of linked "o";"Q2387559";42
Distribution of linked "o";"Q19604";42
Distribution of linked "o";"Q865720";42
Distribution of linked "o";"Q3590024";42
Distribution of linked "o";"Q19500";42
Distribution of linked "o";"Q1998181";42
Distribution of linked "o";"Q1464421";42
Distribution of linked "o";"Q849179";42
Distribution of linked "o";"Q32494";40
Distribution of linked "o";"Q646135";40
Distribution of linked "o";"Q47050";40
Distribution of linked "o";"Q128148";40
Distribution of linked "o";"Q287129";40
Distribution of linked "o";"Q221695";38
Distribution of linked "o";"Q38568";38
Distribution of linked "o";"Q155218";38
Distribution of linked "o";"Q107818";38
Distribution of linked "o";"Q161554";38
Distribution of linked "o";"Q3063059";38
Distribution of linked "o";"Q106394";38
Distribution of linked "o";"Q162450";38
Distribution of linked "o";"Q170561";38
Distribution of linked "o";"Q155186";38
Distribution of linked "o";"Q268776";38
Distribution of linked "o";"Q877411";38
Distribution of linked "o";"Q6601875";38
Distribution of linked "o";"Q1672798";38
Distribution of linked "o";"Q193481";38
Distribution of linked "o";"Q10383";38
Distribution of linked "o";"Q10308";36
Distribution of linked "o";"Q9164911";36
Distribution of linked "o";"Q157463";36
Distribution of linked "o";"Q15786";36
Distribution of linked "o";"Q19518";36
Distribution of linked "o";"Q3963603";36
Distribution of linked "o";"Q134479";36
Distribution of linked "o";"Q19607";36
Distribution of linked "o";"Q459929";36
Distribution of linked "o";"Q19509";36
Distribution of linked "o";"Q221882";36
Distribution of linked "o";"Q854932";34
Distribution of linked "o";"Q219120";34
Distribution of linked "o";"Q189198";34
Distribution of linked "o";"Q822021";34
Distribution of linked "o";"Q2074";34
Distribution of linked "o";"Q483020";34
Distribution of linked "o";"Q207441";34
Distribution of linked "o";"Q696474";34
Distribution of linked "o";"Q383196";34
Distribution of linked "o";"Q1187790";34
Distribution of linked "o";"Q244874";34
Distribution of linked "o";"Q189275";32
Distribution of linked "o";"Q2533263";32
Distribution of linked "o";"20000101";32
Distribution of linked "o";"Q390230";32
Distribution of linked "o";"Q318922";32
Distribution of linked "o";"Q105853";32
Distribution of linked "o";"Q2331381";32
Distribution of linked "o";"Q185163";32
Distribution of linked "o";"Q1772776";32
Distribution of linked "o";"Q3590615";32
Distribution of linked "o";"Q612017";32
Distribution of linked "o";"Q3241303";32
Distribution of linked "o";"Q19481";30
Distribution of linked "o";"Q211177";30
Distribution of linked "o";"Q5985726";30
Distribution of linked "o";"Q204237";30
Distribution of linked "o";"Q1630613";30
Distribution of linked "o";"Q4201740";30
Distribution of linked "o";"Q497334";30
Distribution of linked "o";"Q14551982";30
Distribution of linked "o";"Q1049171";30
Distribution of linked "o";"Q160530";30
Distribution of linked "o";"Q738917";30
Distribution of linked "o";"Q8682";30
Distribution of linked "o";"Q1570132";30
Distribution of linked "o";"Q3873511";30
Distribution of linked "o";"Q4127955";30
Distribution of linked "o";"Q483856";30
Distribution of linked "o";"Q206838";30
Distribution of linked "o";"Q302954";30
Distribution of linked "o";"Q80987";28
Distribution of linked "o";"Q2346842";28
Distribution of linked "o";"Q2868221";28
Distribution of linked "o";"Q18736";28
Distribution of linked "o";"Q3589828";28
Distribution of linked "o";"Q159936";28
Distribution of linked "o";"Q352270";28
Distribution of linked "o";"Q166776";28
Distribution of linked "o";"Q15224541";28
Distribution of linked "o";"Q153539";28
Distribution of linked "o";"Q321669";28
Distribution of linked "o";"Q216523";28
Distribution of linked "o";"Q3589884";28
Distribution of linked "o";"Q663400";28
Distribution of linked "o";"Q646596";28
Distribution of linked "o";"Q155730";28
Distribution of linked "o";"Q19513";28
Distribution of linked "o";"Q1811026";28
Distribution of linked "o";"Q3590754";28
Distribution of linked "o";"Q3568145";28
Distribution of linked "o";"Q190978";28
Distribution of linked "o";"Q10329";28
Distribution of linked "o";"Q7855039";28
Distribution of linked "o";"Q460448";28
Distribution of linked "o";"Q3873502";28
Distribution of linked "o";"Q853053";28
Distribution of linked "o";"Q19593";28
Distribution of linked "o";"Q4127960";28
Distribution of linked "o";"Q641373";28
Distribution of linked "o";"Q172567";26
Distribution of linked "o";"Q1457";26
Distribution of linked "o";"Q604589";26
Distribution of linked "o";"Q3551886";26
Distribution of linked "o";"Q1110944";26
Distribution of linked "o";"15000101";26
Distribution of linked "o";"Q265570";26
Distribution of linked "o";"Q186276";26
Distribution of linked "o";"Q105861";26
Distribution of linked "o";"Q22707";26
Distribution of linked "o";"Q41420";26
Distribution of linked "o";"Q323815";26
Distribution of linked "o";"Q1128631";26
Distribution of linked "o";"Q101959";26
Distribution of linked "o";"Q15755";26
Distribution of linked "o";"Q1202758";26
Distribution of linked "o";"Q202093";26
Distribution of linked "o";"Q566219";26
Distribution of linked "o";"Q286490";26
Distribution of linked "o";"Q19521";26
Distribution of linked "o";"Q7232579";26
Distribution of linked "o";"Q19470";26
Distribution of linked "o";"Q19578";26
Distribution of linked "o";"Q19449";26
Distribution of linked "o";"Q19498";26
Distribution of linked "o";"Q10300";26
Distribution of linked "o";"Q8835";26
Distribution of linked "o";"Q914086";26
Distribution of linked "o";"Q1320554";26
Distribution of linked "o";"Q6651";26
Distribution of linked "o";"Q762353";26
Distribution of linked "o";"Q218883";24
Distribution of linked "o";"Q1133475";24
Distribution of linked "o";"Q173009";24
Distribution of linked "o";"Q188363";24
Distribution of linked "o";"Q1581559";24
Distribution of linked "o";"Q645229";24
Distribution of linked "o";"Q18712540";24
Distribution of linked "o";"Q920263";24
Distribution of linked "o";"Q1738143";24
Distribution of linked "o";"Q19487";24
Distribution of linked "o";"Q50602";24
Distribution of linked "o";"Q180305";24
Distribution of linked "o";"Q292231";24
Distribution of linked "o";"Q2272209";24
Distribution of linked "o";"Q153535";24
Distribution of linked "o";"Q13385";24
Distribution of linked "o";"Q201006";24
Distribution of linked "o";"Q29103";24
Distribution of linked "o";"Q332532";24
Distribution of linked "o";"Q332605";24
Distribution of linked "o";"Q849823";24
Distribution of linked "o";"Q597992";24
Distribution of linked "o";"Q19601";24
Distribution of linked "o";"Q3061505";24
Distribution of linked "o";"Q459148";24
Distribution of linked "o";"Q7855168";24
Distribution of linked "o";"Q187528";24
Distribution of linked "o";"Q6748";24
Distribution of linked "o";"Q1156317";24
Distribution of linked "o";"Q201360";24
Distribution of linked "o";"Q602542";22
Distribution of linked "o";"Q8823";22
Distribution of linked "o";"Q1051238";22
Distribution of linked "o";"Q1857213";22
Distribution of linked "o";"Q190943";22
Distribution of linked "o";"Q428047";22
Distribution of linked "o";"Q2719759";22
