
;NB_triplets
Nb triplets;147611

;NB_o
Nb "o";41330

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;94482
Distribution of linked "o";"Q994811";118
Distribution of linked "o";"Q478317";117
Distribution of linked "o";"Q221695";117
Distribution of linked "o";"Q1672798";117
Distribution of linked "o";"Q4201740";116
Distribution of linked "o";"Q32494";116
Distribution of linked "o";"Q2442864";115
Distribution of linked "o";"Q3590033";115
Distribution of linked "o";"Q8780";115
Distribution of linked "o";"Q152424";115
Distribution of linked "o";"Q19453";114
Distribution of linked "o";"Q187528";114
Distribution of linked "o";"Q18736";112
Distribution of linked "o";"Q2175909";110
Distribution of linked "o";"Q19490";110
Distribution of linked "o";"Q19462";110
Distribution of linked "o";"Q107818";110
Distribution of linked "o";"Q704";109
Distribution of linked "o";"Q8760";109
Distribution of linked "o";"Q208399";109
Distribution of linked "o";"Q185163";109
Distribution of linked "o";"Q10319";108
Distribution of linked "o";"Q201360";107
Distribution of linked "o";"Q19477";106
Distribution of linked "o";"Q3873550";105
Distribution of linked "o";"Q1049176";105
Distribution of linked "o";"Q5014111";104
Distribution of linked "o";"Q81888";104
Distribution of linked "o";"Q488454";104
Distribution of linked "o";"Q852033";104
Distribution of linked "o";"Q3873503";104
Distribution of linked "o";"Q10300";104
Distribution of linked "o";"Q190978";102
Distribution of linked "o";"Q543842";101
Distribution of linked "o";"Q18750";101
Distribution of linked "o";"Q388487";101
Distribution of linked "o";"Q172020";101
Distribution of linked "o";"Q844238";101
Distribution of linked "o";"Q198032";101
Distribution of linked "o";"Q1812121";101
Distribution of linked "o";"Q2331232";101
Distribution of linked "o";"Q19446";100
Distribution of linked "o";"Q749113";100
Distribution of linked "o";"Q1270152";99
Distribution of linked "o";"Q604589";99
Distribution of linked "o";"Q2266580";99
Distribution of linked "o";"Q7855039";99
Distribution of linked "o";"Q219098";98
Distribution of linked "o";"Q19628";98
Distribution of linked "o";"Q182740";97
Distribution of linked "o";"Q17228";97
Distribution of linked "o";"Q10467";97
Distribution of linked "o";"Q321061";97
Distribution of linked "o";"Q6630";97
Distribution of linked "o";"Q2018";96
Distribution of linked "o";"Q19451";96
Distribution of linked "o";"Q19593";96
Distribution of linked "o";"Q6767";95
Distribution of linked "o";"Q18721";95
Distribution of linked "o";"Q575370";95
Distribution of linked "o";"Q80958";94
Distribution of linked "o";"Q290940";94
Distribution of linked "o";"Q19573";94
Distribution of linked "o";"Q158121";94
Distribution of linked "o";"Q170566";93
Distribution of linked "o";"Q914086";93
Distribution of linked "o";"Q698702";93
Distribution of linked "o";"Q1998181";93
Distribution of linked "o";"Q4140019";93
Distribution of linked "o";"Q19449";93
Distribution of linked "o";"Q1202757";93
Distribution of linked "o";"Q19481";92
Distribution of linked "o";"Q298217";92
Distribution of linked "o";"Q165141";92
Distribution of linked "o";"Q51976";92
Distribution of linked "o";"Q106394";91
Distribution of linked "o";"Q131603";91
Distribution of linked "o";"Q170703";90
Distribution of linked "o";"Q218334";89
Distribution of linked "o";"Q131209";89
Distribution of linked "o";"Q128446";89
Distribution of linked "o";"Q155186";89
Distribution of linked "o";"Q180305";89
Distribution of linked "o";"Q16344";89
Distribution of linked "o";"Q105853";89
Distribution of linked "o";"Q620499";88
Distribution of linked "o";"Q2272209";88
Distribution of linked "o";"Q8857";88
Distribution of linked "o";"Q11938";88
Distribution of linked "o";"Q19500";88
Distribution of linked "o";"Q181190";88
Distribution of linked "o";"Q845859";88
Distribution of linked "o";"Q18729";88
Distribution of linked "o";"Q204675";87
Distribution of linked "o";"Q19568";87
Distribution of linked "o";"Q3873546";87
Distribution of linked "o";"Q128148";87
Distribution of linked "o";"Q6641";86
Distribution of linked "o";"Q113136";86
Distribution of linked "o";"Q219926";86
