
;NB_triplets
Nb triplets;19602

;NB_o
Nb "o";3369

;NB_s
Nb "s";1655

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;13525
Nb "p" links distribution;"P569";NULL;3302
Nb "p" links distribution;"P570";NULL;1752
Nb "p" links distribution;"P26";NULL;889
Nb "p" links distribution;"P108";NULL;89
Nb "p" links distribution;"P286";NULL;45

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"C0";NULL;827680
Nb conflicts distribution;"C8";NULL;815840
Nb conflicts distribution;"C7";NULL;12267
Nb conflicts distribution;"C6";NULL;10423
Nb conflicts distribution;"C4";NULL;5969
Nb conflicts distribution;"C16";NULL;335
Nb conflicts distribution;"C2";NULL;148
Nb conflicts distribution;"C3";NULL;497
Nb conflicts distribution;"C17";NULL;325
Nb conflicts distribution;"C1";NULL;168
Nb conflicts distribution;"C14";NULL;11020
Nb conflicts distribution;"C19";NULL;635
Nb conflicts distribution;"C5";NULL;42

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;0;0;0;0;0

;o_ID;NB
Distribution of linked "o";"Q1277549";337
Distribution of linked "o";"Q47774";280
Distribution of linked "o";"Q1450557";188
Distribution of linked "o";"Q1543";153
Distribution of linked "o";"Q1344163";148
Distribution of linked "o";"Q5794";139
Distribution of linked "o";"Q9617";134
Distribution of linked "o";"Q132885";131
Distribution of linked "o";"Q922698";128
Distribution of linked "o";"Q495299";124
Distribution of linked "o";"Q42267";103
Distribution of linked "o";"Q2701714";100
Distribution of linked "o";"Q2714";96
Distribution of linked "o";"Q1130849";94
Distribution of linked "o";"Q1450568";93
Distribution of linked "o";"Q3589784";92
Distribution of linked "o";"Q1422";91
Distribution of linked "o";"Q204204";88
Distribution of linked "o";"Q208399";87
Distribution of linked "o";"Q18739";85
Distribution of linked "o";"Q15789";78
Distribution of linked "o";"Q3873548";77
Distribution of linked "o";"Q3590033";76
Distribution of linked "o";"Q631";76
Distribution of linked "o";"Q204675";76
Distribution of linked "o";"Q18716";74
Distribution of linked "o";"Q2739";74
Distribution of linked "o";"Q704";73
Distribution of linked "o";"Q172476";71
Distribution of linked "o";"Q7156";68
Distribution of linked "o";"Q1129595";68
Distribution of linked "o";"Q9616";68
Distribution of linked "o";"Q19597";68
Distribution of linked "o";"Q314851";68
Distribution of linked "o";"Q3873513";66
Distribution of linked "o";"Q2609";66
Distribution of linked "o";"Q2637337";61
Distribution of linked "o";"Q1775265";61
Distribution of linked "o";"Q131499";60
Distribution of linked "o";"Q2713491";59
Distribution of linked "o";"Q918209";59
Distribution of linked "o";"Q2347256";58
Distribution of linked "o";"Q182876";58
Distribution of linked "o";"Q267245";58
Distribution of linked "o";"Q676899";56
Distribution of linked "o";"Q2627402";56
Distribution of linked "o";"Q8701";54
Distribution of linked "o";"Q1630430";54
Distribution of linked "o";"Q19444";54
Distribution of linked "o";"Q79800";52
Distribution of linked "o";"Q514714";51
Distribution of linked "o";"Q8806";50
Distribution of linked "o";"Q18708";50
Distribution of linked "o";"Q10467";49
Distribution of linked "o";"Q1812121";49
Distribution of linked "o";"Q270995";49
Distribution of linked "o";"Q12249";48
Distribution of linked "o";"Q2310295";47
Distribution of linked "o";"Q324854";47
Distribution of linked "o";"Q218372";47
Distribution of linked "o";"Q11938";46
Distribution of linked "o";"Q2016992";46
Distribution of linked "o";"Q847587";46
Distribution of linked "o";"Q483868";45
Distribution of linked "o";"Q6601875";44
Distribution of linked "o";"Q9426";44
Distribution of linked "o";"Q3590024";44
Distribution of linked "o";"Q3873503";43
Distribution of linked "o";"Q19477";43
Distribution of linked "o";"Q748445";42
Distribution of linked "o";"Q209509";42
Distribution of linked "o";"Q204238";42
Distribution of linked "o";"Q19500";42
Distribution of linked "o";"Q849179";41
Distribution of linked "o";"Q3873502";40
Distribution of linked "o";"Q730809";40
Distribution of linked "o";"Q19509";40
Distribution of linked "o";"Q1464421";40
