STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;2116
delete.cypher;TOTAL;2116

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;1072
graphSetting.cypher;TOTAL;1072

constraints.cypher;Partial Temporal Consistency;89
constraints.cypher;Partial Temporal Inconsistency;865
constraints.cypher;Total Temporal Inconsistency;323
constraints.cypher;C1 - birthDateConflict;41
constraints.cypher;C1-1 - birthDateConflictPolarity;29
constraints.cypher;C2 - deathDateConflict;33
constraints.cypher;C2-1 - deathDateConflictPolarity;8
constraints.cypher;C3 - birthDeathConflict;38
constraints.cypher;C4 - birthPlayerConflict;24
constraints.cypher;C4 - birthPlayerConflict;80
constraints.cypher;C5 - deathPlayerConflict;38
constraints.cypher;C6 - playerAgeConflict;106
constraints.cypher;C7 - playerTooOldConflict;116
constraints.cypher;C8 - twoTeamsConflict;11796
constraints.cypher;C14 - marriageConflict;116
constraints.cypher;C16 - birthMarriageConflict;29
constraints.cypher;C17 - deathMarriageConflict;25
constraints.cypher;C18 - playerCoachConflict;48
constraints.cypher;C19 - twoCompaniesConflict;58
constraints.cypher;C6 - playerAgeConflict;102
constraints.cypher;TOTAL;13964

stats.cypher;Nb triplets;34
stats.cypher;Nb "o";14
stats.cypher;Nb "s";13
stats.cypher;nb "p";13
stats.cypher;Nb "p" links distribution;20
stats.cypher;Nb conflicts distribution;384
stats.cypher;Nb temporal conflicts;282
stats.cypher;Distribution of linked "o";19
results.cypher;mapping_Neo4j_wikidata;30
results.cypher;inferredNodes;11
results.cypher;tCon_noConflicts;10
results.cypher;tCon_conflicts;396
results.cypher;pCon_noConflicts;997
results.cypher;pCon_conflicts;917
results.cypher;pInc_noConflicts;1008
results.cypher;pInc_conflicts;909
results.cypher;tInc_noConflicts;1032
results.cypher;tInc_conflicts;1006
