STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;13671
delete.cypher;TOTAL;13671

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;10

graphSetting.cypher;dataset loading;10068
graphSetting.cypher;TOTAL;10068

constraints.cypher;Partial Temporal Consistency;877028
constraints.cypher;Partial Temporal Inconsistency;2172
constraints.cypher;Total Temporal Inconsistency;1356
constraints.cypher;C1 - birthDateConflict;150
constraints.cypher;C1-1 - birthDateConflictPolarity;107
constraints.cypher;C2 - deathDateConflict;123
constraints.cypher;C2-1 - deathDateConflictPolarity;57
constraints.cypher;C3 - birthDeathConflict;149
constraints.cypher;C4 - birthPlayerConflict;25
constraints.cypher;C4 - birthPlayerConflict;301
constraints.cypher;C5 - deathPlayerConflict;164
constraints.cypher;C6 - playerAgeConflict;337
constraints.cypher;C7 - playerTooOldConflict;347
constraints.cypher;C8 - twoTeamsConflict;21691
constraints.cypher;C14 - marriageConflict;122
constraints.cypher;C16 - birthMarriageConflict;76
constraints.cypher;C17 - deathMarriageConflict;56
constraints.cypher;C18 - playerCoachConflict;157
constraints.cypher;C19 - twoCompaniesConflict;55
constraints.cypher;C6 - playerAgeConflict;435
constraints.cypher;TOTAL;904908

stats.cypher;Nb triplets;265
stats.cypher;Nb "o";102
stats.cypher;Nb "s";99
stats.cypher;nb "p";97
stats.cypher;Nb "p" links distribution;165
stats.cypher;Nb conflicts distribution;475
stats.cypher;Nb temporal conflicts;346
stats.cypher;Distribution of linked "o";155
results.cypher;mapping_Neo4j_wikidata;559
results.cypher;inferredNodes;82
results.cypher;tCon_noConflicts;10
results.cypher;tCon_conflicts;480
results.cypher;pCon_noConflicts;1169
results.cypher;pCon_conflicts;984
results.cypher;pInc_noConflicts;1205
results.cypher;pInc_conflicts;1006
results.cypher;tInc_noConflicts;1219
results.cypher;tInc_conflicts;1019
