STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;461
delete.cypher;TOTAL;461

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;TOTAL;13

graphSetting.cypher;dataset loading;241
graphSetting.cypher;TOTAL;241

constraints.cypher;C0 - Strict Temporal Consistency;1334
constraints.cypher;C1 - birthDateConflict;4
constraints.cypher;C2 - deathDateConflict;14
constraints.cypher;C3 - birthDeathConflict;8
constraints.cypher;C4 - birthPlayerConflict;14
constraints.cypher;C5 - deathPlayerConflict;7
constraints.cypher;C6 - playerAgeConflict;24
constraints.cypher;C7 - playerTooOldConflict;27
constraints.cypher;C8 - twoTeamsConflict;2329
constraints.cypher;C14 - marriageConflict;114
constraints.cypher;C16 - birthMarriageConflict;5
constraints.cypher;C17 - deathMarriageConflict;3
constraints.cypher;C18 - playerCoachConflict;8
constraints.cypher;C19 - twoCompaniesConflict;17
constraints.cypher;TOTAL;3908

stats.cypher;Nb triplets;1
stats.cypher;Nb "o";1
stats.cypher;Nb "s";0
stats.cypher;nb "p";1
stats.cypher;Nb "p" links distribution;1
stats.cypher;Nb conflicts distribution;1
stats.cypher;Nb temporal conflicts;1
stats.cypher;Distribution of linked "o";1
results.cypher;mapping_Neo4j_wikidata;1
results.cypher;noConflicts;1
results.cypher;conflicts;1
