STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;38724
delete.cypher;TOTAL;38724

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;13

graphSetting.cypher;dataset loading;5069
graphSetting.cypher;TOTAL;5069

constraints.cypher;C0 - Strict Temporal Consistency;20214
constraints.cypher;C1 - birthDateConflict;74
constraints.cypher;C2 - deathDateConflict;36
constraints.cypher;C3 - birthDeathConflict;77
constraints.cypher;C4 - birthPlayerConflict;173
constraints.cypher;C5 - deathPlayerConflict;66
constraints.cypher;C6 - playerAgeConflict;251
constraints.cypher;C7 - playerTooOldConflict;278
constraints.cypher;C8 - twoTeamsConflict;34684
constraints.cypher;C14 - marriageConflict;669
constraints.cypher;C16 - birthMarriageConflict;65
constraints.cypher;C17 - deathMarriageConflict;64
constraints.cypher;C18 - playerCoachConflict;93
constraints.cypher;C19 - twoCompaniesConflict;43
constraints.cypher;TOTAL;56787

stats.cypher;Nb triplets;91
stats.cypher;Nb "o";35
stats.cypher;Nb "s";35
stats.cypher;nb "p";34
stats.cypher;Nb "p" links distribution;52
stats.cypher;Nb conflicts distribution;1479
stats.cypher;Nb temporal conflicts;1077
stats.cypher;Distribution of linked "o";49
results.cypher;mapping_Neo4j_wikidata;182
results.cypher;noConflicts;14
results.cypher;conflicts;1659
