STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;188
inference.cypher;TOTAL;188

constraints.cypher;Partial Temporal Consistency;87
constraints.cypher;Partial Temporal Inconsistency;379
constraints.cypher;Total Temporal Inconsistency;262
constraints.cypher;C1 - birthDateConflict;36
constraints.cypher;C1-1 - birthDateConflictPolarity;26
constraints.cypher;C2 - deathDateConflict;32
constraints.cypher;C2-1 - deathDateConflictPolarity;18
constraints.cypher;C3 - birthDeathConflict;38
constraints.cypher;C4 - birthPlayerConflict;1
constraints.cypher;C4 - birthPlayerConflict;61
constraints.cypher;C5 - deathPlayerConflict;37
constraints.cypher;C6 - playerAgeConflict;68
constraints.cypher;C7 - playerTooOldConflict;68
constraints.cypher;C8 - twoTeamsConflict;3371
constraints.cypher;C14 - marriageConflict;20
constraints.cypher;C16 - birthMarriageConflict;16
constraints.cypher;C17 - deathMarriageConflict;11
constraints.cypher;C18 - playerCoachConflict;28
constraints.cypher;C19 - twoCompaniesConflict;8
constraints.cypher;C6 - playerAgeConflict;84
constraints.cypher;TOTAL;4651

stats.cypher;Nb triplets;68
stats.cypher;Nb "o";26
stats.cypher;Nb "s";25
stats.cypher;nb "p";23
stats.cypher;Nb "p" links distribution;41
stats.cypher;Nb conflicts distribution;76
stats.cypher;Nb temporal conflicts;53
stats.cypher;Distribution of linked "o";39
results.cypher;mapping_Neo4j_wikidata;56
results.cypher;inferredNodes;20
results.cypher;tCon_noConflicts;2
results.cypher;tCon_conflicts;77
results.cypher;pCon_noConflicts;190
results.cypher;pCon_conflicts;143
results.cypher;pInc_noConflicts;189
results.cypher;pInc_conflicts;146
results.cypher;tInc_noConflicts;191
results.cypher;tInc_conflicts;151
